"iso_code3","year","grade","mlevel2_m","rlevel2_m","category","Location","Sex","Wealth","rlevel2_no","mlevel2_no","survey"
"MKD",2018,6,0.517432909587266,0.814615544576749,"Location","Rural",,,49,49,"MICS6"
"MNG",2018,3,0.368849289639354,0.561131987444299,"Location","Urban",,,345,345,"MICS6"
"MNG",2018,3,0.33986034760638,0.4633784137768,"Location","Rural",,,306,306,"MICS6"
"MNG",2018,6,0.434035005285209,0.690861631034535,"Location","Urban",,,306,306,"MICS6"
"MNG",2018,6,0.468815403791555,0.728660197984776,"Location","Rural",,,293,293,"MICS6"
"NPL",2019,3,0.310832950753441,0.287160877463563,"Location","Urban",,,381,381,"MICS6"
"NPL",2019,3,0.151159721512655,0.154754767104624,"Location","Rural",,,283,283,"MICS6"
"NPL",2019,6,0.491104108745634,0.536424589855716,"Location","Urban",,,315,315,"MICS6"
"NPL",2019,6,0.341477121932857,0.505793904911487,"Location","Rural",,,274,274,"MICS6"
"PSE",2019,3,0.271539039577266,0.322231984857809,"Location","Urban",,,264,264,"MICS6"
"PSE",2019,3,0.454753563794643,0.317536601107333,"Location","Rural",,,82,82,"MICS6"
"PSE",2019,6,0.500902456469973,0.663148589954542,"Location","Urban",,,217,217,"MICS6"
"PSE",2019,6,0.504816820557435,0.54110632364723,"Location","Rural",,,74,74,"MICS6"
"SLE",2017,3,0.138427927462474,0.132371761595633,"Location","Urban",,,404,404,"MICS6"
"SLE",2017,3,0.032505226089561,0.0282479602680295,"Location","Rural",,,790,790,"MICS6"
"SLE",2017,6,0.363968481159815,0.510785504585753,"Location","Urban",,,310,310,"MICS6"
"SLE",2017,6,0.236331782427416,0.296382551356195,"Location","Rural",,,382,382,"MICS6"
"STP",2019,3,0.265832501409932,0.309206904662837,"Location","Urban",,,108,108,"MICS6"
"STP",2019,3,0.207262239057685,0.195183610720432,"Location","Rural",,,94,94,"MICS6"
"STP",2019,6,0.543711077604442,0.686747679629613,"Location","Urban",,,115,115,"MICS6"
"STP",2019,6,0.595929292075176,0.673731281759837,"Location","Rural",,,94,94,"MICS6"
"SUR",2018,3,0.224758533317157,0.384573817050258,"Location","Urban",,,227,227,"MICS6"
"SUR",2018,3,0.11873291515957,0.319338735539368,"Location","Rural",,,124,124,"MICS6"
"SUR",2018,6,0.419596079416624,0.691603735199365,"Location","Urban",,,192,192,"MICS6"
"SUR",2018,6,0.398931497667627,0.585043204251213,"Location","Rural",,,134,134,"MICS6"
"TCD",2019,3,0.119026092764656,0.064541186515012,"Location","Urban",,,254,254,"MICS6"
"TCD",2019,3,0.0752176783899685,0.0295832917709498,"Location","Rural",,,613,613,"MICS6"
"TCD",2019,6,0.450665709899286,0.370806929402977,"Location","Urban",,,160,160,"MICS6"
"TCD",2019,6,0.371377553771284,0.199802778059142,"Location","Rural",,,229,229,"MICS6"
"TGO",2017,3,0.0717765923459102,0.127835738719682,"Location","Urban",,,161,161,"MICS6"
"TGO",2017,3,0.0320978924069164,0.016112858676743,"Location","Rural",,,347,347,"MICS6"
"TGO",2017,6,0.162491972013465,0.42690220669838,"Location","Urban",,,140,140,"MICS6"
"TGO",2017,6,0.125612209145902,0.2333281288565,"Location","Rural",,,298,298,"MICS6"
"THA",2019,3,0.662965613369529,0.619638159266208,"Location","Urban",,,420,420,"MICS6"
"THA",2019,3,0.558870848690129,0.660016680883994,"Location","Rural",,,808,808,"MICS6"
"THA",2019,6,0.788236583873216,0.815577178335877,"Location","Urban",,,407,407,"MICS6"
"THA",2019,6,0.711975993004143,0.782264637004802,"Location","Rural",,,791,791,"MICS6"
"TKM",2019,3,0.655169940203586,0.725833982862865,"Location","Urban",,,159,159,"MICS6"
"TKM",2019,3,0.583476629078491,0.805959758573954,"Location","Rural",,,156,156,"MICS6"
"TKM",2019,6,0.828178009113068,0.907216102000824,"Location","Urban",,,273,273,"MICS6"
"TKM",2019,6,0.889881631804618,0.945498224954986,"Location","Rural",,,178,178,"MICS6"
"TON",2019,3,0.419739465453473,0.545330837410251,"Location","Urban",,,37,37,"MICS6"
"TON",2019,3,0.215707980271971,0.492890188346343,"Location","Rural",,,88,88,"MICS6"
"TON",2019,6,0.733839214645217,0.88681965999618,"Location","Urban",,,38,38,"MICS6"
"TON",2019,6,0.583240937660947,0.61277096678249,"Location","Rural",,,95,95,"MICS6"
"TUN",2018,3,0.183307714147519,0.534835572503579,"Location","Urban",,,270,270,"MICS6"
"TUN",2018,3,0.221243707319223,0.410240022956681,"Location","Rural",,,124,124,"MICS6"
"TUN",2018,6,0.48361610084426,0.854554898583688,"Location","Urban",,,258,258,"MICS6"
"TUN",2018,6,0.261732695839639,0.671727414836385,"Location","Rural",,,130,130,"MICS6"
"WSM",2019,3,0.182784736382173,0.304689775706379,"Location","Urban",,,51,51,"MICS6"
"WSM",2019,3,0.132828421635649,0.259805133893208,"Location","Rural",,,132,132,"MICS6"
"WSM",2019,6,0.242603550295858,0.474765053950574,"Location","Urban",,,50,50,"MICS6"
"WSM",2019,6,0.162781472723234,0.572622584640039,"Location","Rural",,,123,123,"MICS6"
"ZWE",2019,3,0.228215764302814,0.519991848597213,"Location","Urban",,,199,199,"MICS6"
"ZWE",2019,3,0.0444698438567271,0.191146124343414,"Location","Rural",,,472,472,"MICS6"
"ZWE",2019,6,0.621723303321754,0.921182821681972,"Location","Urban",,,153,153,"MICS6"
"ZWE",2019,6,0.287002861954429,0.567561462866308,"Location","Rural",,,406,406,"MICS6"
"BGD",2019,3,0.168450735029773,0.289709651081939,"Sex",,"Male",,2061,2061,"MICS6"
"BGD",2019,3,0.164399893580424,0.337729299344883,"Sex",,"Female",,1809,1809,"MICS6"
"BGD",2019,6,0.420870270783675,0.715825101729905,"Sex",,"Male",,1525,1525,"MICS6"
"BGD",2019,6,0.411466960620889,0.743304307991817,"Sex",,"Female",,1514,1514,"MICS6"
"BLR",2019,3,0.72196235088813,0.806642086830358,"Sex",,"Male",,130,130,"MICS6"
"BLR",2019,3,0.69021608359959,0.846655239903262,"Sex",,"Female",,112,112,"MICS6"
"BLR",2019,6,0.749377337941138,0.818052737226669,"Sex",,"Male",,86,86,"MICS6"
"BLR",2019,6,0.883289942730144,0.938147649625529,"Sex",,"Female",,71,71,"MICS6"
"CAF",2018,3,0.0126606266897648,0.0316488827932245,"Sex",,"Male",,447,447,"MICS6"
"CAF",2018,3,0.000882285105783434,0.023888847480321,"Sex",,"Female",,410,410,"MICS6"
"CAF",2018,6,0.0822113908084319,0.269456129765529,"Sex",,"Male",,180,180,"MICS6"
"CAF",2018,6,0.0634968349807073,0.0716336143991045,"Sex",,"Female",,165,165,"MICS6"
"COD",2017,3,0.00583501258658109,0.0516327430743532,"Sex",,"Male",,723,723,"MICS6"
"COD",2017,3,0.00118739373005147,0.0339078044047969,"Sex",,"Female",,679,679,"MICS6"
"COD",2017,6,0,0.103189107465575,"Sex",,"Male",,454,454,"MICS6"
"COD",2017,6,0.00639185958827976,0.233776003126768,"Sex",,"Female",,484,484,"MICS6"
"GHA",2017,3,0.104235669171935,0.0796869931065969,"Sex",,"Male",,453,453,"MICS6"
"GHA",2017,3,0.048481679102392,0.0612978909452546,"Sex",,"Female",,435,435,"MICS6"
"GHA",2017,6,0.322006423770175,0.450957022993329,"Sex",,"Male",,342,342,"MICS6"
"GHA",2017,6,0.21129738699577,0.436918009674346,"Sex",,"Female",,394,394,"MICS6"
"GMB",2019,3,0.0480088126060155,0.0544502683884583,"Sex",,"Male",,223,223,"MICS6"
"GMB",2019,3,0.0631610783862241,0.114150123096346,"Sex",,"Female",,313,313,"MICS6"
"GMB",2019,6,0.314613704478349,0.378967922864128,"Sex",,"Male",,123,123,"MICS6"
"GMB",2019,6,0.278804877713689,0.260668850225247,"Sex",,"Female",,174,174,"MICS6"
"GNB",2018,3,0.136017489704296,0.108447617465521,"Sex",,"Male",,271,271,"MICS6"
"GNB",2018,3,0.0349604995533543,0.103675705998906,"Sex",,"Female",,316,316,"MICS6"
"GNB",2018,6,0.255396593209319,0.533714315023332,"Sex",,"Male",,124,124,"MICS6"
"GNB",2018,6,0.286954598796613,0.653584446758813,"Sex",,"Female",,145,145,"MICS6"
"GUY",2019,3,0.55925684929808,0.57914300088625,"Sex",,"Male",,142,142,"MICS6"
"GUY",2019,3,0.600429994138107,0.561239526101935,"Sex",,"Female",,130,130,"MICS6"
"GUY",2019,6,0.543004231863349,0.502119481065308,"Sex",,"Male",,127,127,"MICS6"
"GUY",2019,6,0.730280289096875,0.621201650875641,"Sex",,"Female",,131,131,"MICS6"
"KGZ",2018,3,0.369902580090564,0.422557544547933,"Sex",,"Male",,180,180,"MICS6"
"KGZ",2018,3,0.536447466256433,0.550152528984671,"Sex",,"Female",,145,145,"MICS6"
"KGZ",2018,6,0.642203308699775,0.750673123097827,"Sex",,"Male",,159,159,"MICS6"
"KGZ",2018,6,0.653473249782728,0.69142437334634,"Sex",,"Female",,144,144,"MICS6"
"KIR",2018,3,0.1827736057352,0.321607497168191,"Sex",,"Male",,104,104,"MICS6"
"KIR",2018,3,0.174370052553559,0.387665101366647,"Sex",,"Female",,99,99,"MICS6"
"KIR",2018,6,0.260583569190853,0.283703679630451,"Sex",,"Male",,91,91,"MICS6"
"KIR",2018,6,0.248287926242931,0.345136792725762,"Sex",,"Female",,91,91,"MICS6"
"LSO",2018,3,0.0092727449934477,0.0882245811371589,"Sex",,"Male",,264,264,"MICS6"
"LSO",2018,3,0.0291252339413885,0.281854872447478,"Sex",,"Female",,217,217,"MICS6"
"LSO",2018,6,0.200598375380186,0.572773268634183,"Sex",,"Male",,245,245,"MICS6"
"LSO",2018,6,0.166875668993143,0.778268640174115,"Sex",,"Female",,217,217,"MICS6"
"MDG",2018,3,0.0373353140066768,0.166073688076454,"Sex",,"Male",,618,618,"MICS6"
"MDG",2018,3,0.0789417770454639,0.216202037098939,"Sex",,"Female",,638,638,"MICS6"
"MDG",2018,6,0.246559597218328,0.722015343480624,"Sex",,"Male",,211,211,"MICS6"
"MDG",2018,6,0.215359024463383,0.585212044965563,"Sex",,"Female",,228,228,"MICS6"
"MKD",2018,3,0.447831319324552,0.564943202410964,"Sex",,"Male",,73,73,"MICS6"
"MKD",2018,3,0.332767406204536,0.653346137867396,"Sex",,"Female",,64,64,"MICS6"
"MKD",2018,6,0.59873086989548,0.735520726678431,"Sex",,"Male",,50,50,"MICS6"
"MKD",2018,6,0.472893613786722,0.66480229980262,"Sex",,"Female",,45,45,"MICS6"
"MNG",2018,3,0.377974720525013,0.523621087932861,"Sex",,"Male",,351,351,"MICS6"
"MNG",2018,3,0.341063012960452,0.537697066642763,"Sex",,"Female",,300,300,"MICS6"
"MNG",2018,6,0.500092351512723,0.693321879933073,"Sex",,"Male",,294,294,"MICS6"
"MNG",2018,6,0.40003599516868,0.714696445669212,"Sex",,"Female",,305,305,"MICS6"
"NPL",2019,3,0.326308854802233,0.261291658254845,"Sex",,"Male",,330,330,"MICS6"
"NPL",2019,3,0.18719268883767,0.228051296375554,"Sex",,"Female",,334,334,"MICS6"
"NPL",2019,6,0.428190057245323,0.494501362238824,"Sex",,"Male",,277,277,"MICS6"
"NPL",2019,6,0.445871943290552,0.55428022034204,"Sex",,"Female",,312,312,"MICS6"
"PSE",2019,3,0.322791203542951,0.336504613336453,"Sex",,"Male",,222,222,"MICS6"
"PSE",2019,3,0.261247964820322,0.305983960474489,"Sex",,"Female",,205,205,"MICS6"
"PSE",2019,6,0.451251550563809,0.477624099892044,"Sex",,"Male",,187,187,"MICS6"
"PSE",2019,6,0.524454725507624,0.763550022976043,"Sex",,"Female",,176,176,"MICS6"
"SLE",2017,3,0.0794542474002535,0.0532638853527793,"Sex",,"Male",,549,549,"MICS6"
