"iso_code3","year","grade","level","survey","category","Language","Location","Sex","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"HUN",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9438,0.7961,0.4975,0.0097,0.0146,0.0162,5004,4351,2809
"HUN",2021,4,"Primary","PIRLS","Language","No",,,,0.5737,0.2551,0.1277,0.1277,0.1023,0.0666,21,10,6
"IRL",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9801,0.9126,0.6786,0.0038,0.0071,0.0148,4455,4147,3139
"IRL",2021,4,"Primary","PIRLS","Language","No",,,,0.9201,0.8215,0.5053,0.04,0.0534,0.0709,89,80,50
"IRN",2021,4,"Primary","PIRLS","Language","Yes",,,,0.6313,0.3225,0.0748,0.0184,0.0161,0.0066,3492,1808,446
"IRN",2021,4,"Primary","PIRLS","Language","No",,,,0.3931,0.1319,0.0248,0.0387,0.0209,0.0123,257,79,13
"ISR",2021,4,"Primary","PIRLS","Language","Yes",,,,0.8831,0.6794,0.3604,0.0081,0.0109,0.0114,4194,3210,1704
"ISR",2021,4,"Primary","PIRLS","Language","No",,,,0.8162,0.4752,0.203,0.0443,0.0598,0.0477,89,50,26
"ITA",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9733,0.8344,0.4503,0.0033,0.009,0.0145,5142,4452,2451
"ITA",2021,4,"Primary","PIRLS","Language","No",,,,0.9094,0.6037,0.2676,0.0331,0.0674,0.0624,94,63,28
"JOR",2021,4,"Primary","PIRLS","Language","Yes",,,,0.4792,0.2238,0.0574,0.0205,0.0166,0.0082,2469,1108,265
"JOR",2021,4,"Primary","PIRLS","Language","No",,,,0.3909,0.1852,0.0365,0.0722,0.0571,0.0169,136,65,15
"KAZ",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9099,0.6729,0.2803,0.0077,0.0144,0.0137,6251,4680,2021
"KAZ",2021,4,"Primary","PIRLS","Language","No",,,,0.7021,0.3746,0.114,0.0823,0.075,0.0565,62,32,9
