Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AO,2015,36.47758,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AR,2010,74.09815,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AT,2005,98.66000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AT,2011,99.19000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AT,2013,99.23000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AT,2014,98.70000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AU,2010,99.15000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2000,87.76000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2006,91.65569,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2000,97.48000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L2,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2006,98.73000,0,A,A,5
