iso_code3,country,year,country_year,survey,category,location,sex,wealth,region,ethnicity,religion,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,eduout_prim,eduout_lowsec,eduout_upsec,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,year_uis,cy,_merge
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 3,Fier,,,,,,100,92.640846,69.702713,,,,9.96451,,,10,20,12,55,55,49,23,23,23,31,17,21,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Female,,Gjirokaster,,,98.744026,89.53875,81.608429,96.94474,83.838058,73.520622,15.713418,0,.85538197,9.1936054,1.7394434,15.016755,65,44,32,153,153,162,65,65,65,103,97,62,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 3,Durres,,,,95.775375,,98.055382,90.529457,66.33783,15.286959,0,1.2657796,3.4245365,0,,29,40,22,93,93,81,39,39,39,35,37,22,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 3,Lezhe,,,,,,99.556725,92.362251,75.485374,15.073059,0,.91965246,10.780186,0,,22,29,23,88,88,75,42,42,42,44,30,26,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 1,Kukes,,,97.612427,91.070885,68.969414,98.818825,87.1409,58.608681,13.958238,0,0,26.11025,25.57402,43.124992,151,138,111,396,396,327,176,176,176,193,219,129,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Region,,,,Vlore,,,100,95.569183,85.209595,98.538933,92.12896,76.005882,15.847982,0,.23773608,7.5037317,1.3873073,8.5543213,140,131,135,425,425,431,217,217,217,220,192,129,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Female,,Shkoder,,,97.359207,94.337418,90.302711,97.597351,92.715935,77.385201,15.941145,1.6039331,1.6039331,5.9585147,2.2478569,6.9270716,86,91,102,318,318,293,166,166,166,96,104,88,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 4,Shkoder,,,,,,94.523087,93.34053,86.679886,15.882998,7.0662966,7.0662966,,,,13,18,25,71,71,70,40,40,40,18,15,17,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 4,Lezhe,,,,,,,,,,,,,,,6,8,2,17,17,17,6,6,6,7,9,5,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Location & Wealth,Urban,,Quintile 4,,,,93.842255,95.51162,91.614319,98.433548,94.705635,85.614983,16.375195,.42023197,.42023197,9.098031,1.1705799,3.6530762,272,300,307,956,956,973,484,484,484,400,350,287,,Albania_2017,matched (3)
